"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_TRUE";"cohen_FALSE";"shieh_TRUE";"shieh_FALSE";"trshieh_TRUE";"trshieh_FALSE"
"262";0,95;20;20;2;2;0;0;0;0;0;0
"263";0,95;20;20;2;1;0;0;0;0;0;0
"264";0,95;20;20;2;0,1;0;0;0;0;0;0
"265";0,95;20;20;2;0,5;0;0;0;0;0;0
"266";0,95;20;20;2;0,25;0;0;0;0;0;0
"267";0,95;20;20;3;10;0;0;0;0;0;0
"268";0,95;20;20;3;4;0;0;0;0;0;0
"269";0,95;20;20;3;2;0;0;0;0;0;0
"270";0,95;20;20;3;1;0;0;0;0;0;0
"271";0,95;20;20;3;0,1;0;0;0;0;0;0
"272";0,95;20;20;3;0,5;0;0;0;0;0;0
"273";0,95;20;20;3;0,25;0;0;0;0;0;0
"274";0,95;20;20;4;10;0;0;0;0;0;0
"275";0,95;20;20;4;4;0;0;0;0;0;0
"276";0,95;20;20;4;2;0;0;0;0;0;0
"277";0,95;20;20;4;1;0;0;0;0;0;0
"278";0,95;20;20;4;0,1;0;0;0;0;0;0
"279";0,95;20;20;4;0,5;0;0;0;0;0;0
"280";0,95;20;20;4;0,25;0;0;0;0;0;0
"281";0,95;20;50;0;10;0;0;0;0;0;0
"282";0,95;20;50;0;4;0;0;0;0;0;0
"283";0,95;20;50;0;2;0;0;0;0;0;0
"284";0,95;20;50;0;1;0;0;0;0;0;0
"285";0,95;20;50;0;0,1;0;0;0;0;0;0
"286";0,95;20;50;0;0,5;0;0;0;0;0;0
"287";0,95;20;50;0;0,25;0;0;0;0;0;0
"288";0,95;20;50;1;10;0;0;0;0;0;0
"289";0,95;20;50;1;4;0;0;0;0;0;0
"290";0,95;20;50;1;2;0;0;0;0;0;0
"291";0,95;20;50;1;1;0;0;0;0;0;0
"292";0,95;20;50;1;0,1;0;0;0;0;0;0
"293";0,95;20;50;1;0,5;0;0;0;0;0;0
"294";0,95;20;50;1;0,25;0;0;0;0;0;0
"295";0,95;20;50;2;10;0;0;0;0;0;0
"296";0,95;20;50;2;4;0;0;0;0;0;0
"297";0,95;20;50;2;2;0;0;0;0;0;0
"298";0,95;20;50;2;1;0;0;0;0;0;0
"299";0,95;20;50;2;0,1;0;0;0;0;0;0
"300";0,95;20;50;2;0,5;0;0;0;0;0;0
"301";0,95;20;50;2;0,25;0;0;0;0;0;0
"302";0,95;20;50;3;10;0;0;0;0;0;0
"303";0,95;20;50;3;4;0;0;0;0;0;0
"304";0,95;20;50;3;2;0;0;0;0;0;0
"305";0,95;20;50;3;1;0;0;0;0;0;0
"306";0,95;20;50;3;0,1;0;0;0;0;0;0
"307";0,95;20;50;3;0,5;0;0;0;0;0;0
"308";0,95;20;50;3;0,25;0;0;0;0;0;0
"309";0,95;20;50;4;10;0;0;0;0;0;0
"310";0,95;20;50;4;4;0;0;0;0;0;0
"311";0,95;20;50;4;2;0;0;0;0;0;0
"312";0,95;20;50;4;1;0;0;0;0;0;0
"313";0,95;20;50;4;0,1;0;0;0;0;0;0
"314";0,95;20;50;4;0,5;0;0;0;0;0;0
"315";0,95;20;50;4;0,25;0;0;0;0;0;0
