"X1";"X2";"X3";"X4";"X5"
"155";155;45;3,44444444444444;0,109947206489773;0,307793505625546
"156";156;44;3,54545454545455;0,108936770270705;0,30831024769445
"157";157;43;3,65116279069767;0,107905839652515;0,308829601144956
"158";158;42;3,76190476190476;0,106853901969647;0,309351588046001
"159";159;41;3,8780487804878;0,105780411067468;0,309876230728519
"160";160;40;4;0,104684784518043;0,310403551789447
"161";161;39;4,12820512820513;0,103566400520181;0,310933574095819
"162";162;38;4,26315789473684;0,102424594439091;0,311466320788928
"163";163;37;4,40540540540541;0,101258654933353;0,31200181528857
"164";164;36;4,55555555555556;0,10006781960766;0,312540081297368
"165";165;35;4,71428571428571;0,0988512701186025;0,313081142805181
"166";166;34;4,88235294117647;0,0976081266472007;0,31362502409359
"167";167;33;5,06060606060606;0,0963374416352675;0,31417174974048
"168";168;32;5,25;0,0950381926622983;0,314721344624703
"169";169;31;5,45161290322581;0,0937092743143618;0,315273833930832
"170";170;30;5,66666666666667;0,0923494888651014;0,315829243154009
"171";171;29;5,89655172413793;0,0909575355496908;0,316387598104888
"172";172;28;6,14285714285714;0,0895319981630771;0,316948924914672
"173";173;27;6,40740740740741;0,0880713306509579;0,317513250040247
"174";174;26;6,69230769230769;0,0865738402814243;0,318080600269423
"175";175;25;7;0,085037667881226;0,318651002726277
"176";176;24;7,33333333333333;0,0834607644851356;0,319224484876591
"177";177;23;7,69565217391304;0,0818408635686018;0,319801074533416
"178";178;22;8,09090909090909;0,0801754477967889;0,320380799862733
"179";179;21;8,52380952380952;0,0784617089041935;0,320963689389232
"180";180;20;9;0,076696498884737;0,321549772002211
"181";181;19;9,52631578947368;0,0748762700728312;0,322139076961583
"182";182;18;10,1111111111111;0,0729970008563867;0,322731633904017
"183";183;17;10,7647058823529;0,0710541025678565;0,323327472849199
"184";184;16;11,5;0,069042301368352;0,323926624206215
"185";185;15;12,3333333333333;0,0669554863824046;0,324529118780072
"186";186;14;13,2857142857143;0,0647865114791072;0,325134987778353
"187";187;13;14,3846153846154;0,062526932119449;0,325744262818
"188";188;12;15,6666666666667;0,0601666491832556;0,326356975932253
"189";189;11;17,1818181818182;0,0576934160833452;0,326973159577714
"190";190;10;19;0,0550921389126257;0,327592846641577
"191";191;9;21,2222222222222;0,0523438522193179;0,328216070448995
"192";192;8;24;0,0494241650572172;0,328842864770608
"193";193;7;27,5714285714286;0,0463007978816901;0,329473263830235
"194";194;6;32,3333333333333;0,0429294603822873;0,330107302312712
"195";195;5;39;0,0392464566577618;0,330745015371918
"196";196;4;49;0,0351541372666278;0,331386438638956
"197";197;3;65,6666666666667;0,0304883189178617;0,332031608230516
"198";198;2;99;0,0249292785004635;0,332680560757417
"199";199;1;199;0,0176527382274721;0,333333333333333
