"conf.level";"n1";"n2";"m1-m2";"sd1/sd2";"p_Cohen_NH0";"p_Shieh_NH0";"p_transfoshieh_NH0";"CICohen_vs_Student";"CIShieh_vs_Welch";"CItransfoShieh_vs_Welch"
"161";0,95;20;20;2;0,25;0,29203;0,30226;0,30226;1,000000000001e-05;1,99999999999645e-05;1,99999999999645e-05
"162";0,95;20;20;3;10;2e-05;2e-05;2e-05;0;0;0
"163";0,95;20;20;3;4;1e-05;1e-05;1e-05;0;0;0
"164";0,95;20;20;3;2;2e-05;2e-05;2e-05;0;0;0
"165";0,95;20;20;3;1;2e-05;3e-05;3e-05;0;0;0
"166";0,95;20;20;3;0,1;0,59505;0,60922;0,60922;2,99999999999745e-05;0;0
"167";0,95;20;20;3;0,5;0,00082;0,00091;0,00091;0;0;0
"168";0,95;20;20;3;0,25;0,06983;0,07388;0,07388;0;0;0
"169";0,95;20;20;4;10;0;1e-05;1e-05;0;0;0
"170";0,95;20;20;4;4;0;0;0;0;0;0
"171";0,95;20;20;4;2;0;0;0;0;0;0
"172";0,95;20;20;4;1;0;0;0;0;0;0
"173";0,95;20;20;4;0,1;0,42161;0,43653;0,43653;0;2,99999999999745e-05;2,99999999999745e-05
"174";0,95;20;20;4;0,5;6e-05;8e-05;8e-05;0;0;0
"175";0,95;20;20;4;0,25;0,01206;0,01308;0,01308;0;0;0
"176";0,95;20;50;0;10;0,8443;0,95184;0,95184;1,00000000000655e-05;0;0
"177";0,95;20;50;0;4;0,86082;0,95076;0,95076;0;0;0
"178";0,95;20;50;0;2;0,89672;0,95131;0,95131;0;0;0
"179";0,95;20;50;0;1;0,95001;0,9502;0,9502;0;0;0
"180";0,95;20;50;0;0,1;0,99459;0,95083;0,95083;0;0;0
"181";0,95;20;50;0;0,5;0,98234;0,94946;0,94946;0;9,99999999995449e-06;9,99999999995449e-06
"182";0,95;20;50;0;0,25;0,99204;0,94942;0,94942;0;1,00000000000655e-05;1,00000000000655e-05
"183";0,95;20;50;1;10;0,00259;0,01167;0,01167;0;0;0
"184";0,95;20;50;1;4;0,00294;0,01262;0,01262;0;0;0
"185";0,95;20;50;1;2;0,00429;0,0142;0,0142;0;0;0
"186";0,95;20;50;1;1;0,02331;0,02715;0,02715;0;0;0
"187";0,95;20;50;1;0,1;0,96573;0,82261;0,82261;0;1,9999999999909e-05;1,9999999999909e-05
"188";0,95;20;50;1;0,5;0,26434;0,1349;0,1349;0;1,99999999999922e-05;1,99999999999922e-05
"189";0,95;20;50;1;0,25;0,77321;0,49235;0,49235;0;2,000000000002e-05;2,000000000002e-05
"190";0,95;20;50;2;10;1e-05;1e-04;1e-04;0;0;0
"191";0,95;20;50;2;4;3e-05;0,00014;0,00014;0;0;0
"192";0,95;20;50;2;2;3e-05;9e-05;9e-05;0;0;0
"193";0,95;20;50;2;1;8e-05;0,00016;0,00016;0;0;0
"194";0,95;20;50;2;0,1;0,86487;0,58566;0,58566;2,99999999999745e-05;1,9999999999909e-05;1,9999999999909e-05
"195";0,95;20;50;2;0,5;0,00244;7e-04;7e-04;0;0;0
"196";0,95;20;50;2;0,25;0,2107;0,05888;0,05888;0;1,00000000000031e-05;1,00000000000031e-05
"197";0,95;20;50;3;10;0;2e-05;2e-05;0;0;0
"198";0,95;20;50;3;4;0;2e-05;2e-05;0;0;0
"199";0,95;20;50;3;2;1e-05;2e-05;2e-05;0;0;0
"200";0,95;20;50;3;1;1e-05;1e-05;1e-05;0;0;0
"201";0,95;20;50;3;0,1;0,65965;0,32072;0,32072;9,99999999995449e-06;0;0
"202";0,95;20;50;3;0,5;9e-05;3e-05;3e-05;0;0;0
"203";0,95;20;50;3;0,25;0,01681;0,00253;0,00253;0;0;0
"204";0,95;20;50;4;10;0;0;0;0;0;0
"205";0,95;20;50;4;4;0;0;0;0;0;0
"206";0,95;20;50;4;2;2e-05;2e-05;2e-05;0;0;0
"207";0,95;20;50;4;1;0;0;0;0;0;0
"208";0,95;20;50;4;0,1;0,40312;0,13168;0,13168;3,99999999999845e-05;1,99999999999922e-05;1,99999999999922e-05
"209";0,95;20;50;4;0,5;3e-05;1e-05;1e-05;0;0;0
"210";0,95;20;50;4;0,25;0,00136;0,00028;0,00028;0;0;0
"211";0,95;50;100;0;10;0,87684;0,95092;0,95092;0;0;0
"212";0,95;50;100;0;4;0,88613;0,95032;0,95032;0;0;0
"213";0,95;50;100;0;2;0,90927;0,9494;0,9494;0;1,00000000000655e-05;1,00000000000655e-05
"214";0,95;50;100;0;1;0,94966;0,95;0,95;0;0;0
"215";0,95;50;100;0;0,1;0,98956;0,95051;0,95051;9,99999999995449e-06;0;0
"216";0,95;50;100;0;0,5;0,97773;0,95031;0,95031;0;0;0
"217";0,95;50;100;0;0,25;0,98648;0,95009;0,95009;0;0;0
"218";0,95;50;100;1;10;6e-05;0,00018;0,00018;0;0;0
"219";0,95;50;100;1;4;4e-05;0,00015;0,00015;0;0;0
"220";0,95;50;100;1;2;3e-05;0,00015;0,00015;0;0;0
"221";0,95;50;100;1;1;3e-04;0,00034;0,00034;0;0;0
"222";0,95;50;100;1;0,1;0,90146;0,74024;0,74024;1,00000000000655e-05;9,99999999995449e-06;9,99999999995449e-06
"223";0,95;50;100;1;0,5;0,02538;0,01053;0,01053;0;0;0
"224";0,95;50;100;1;0,25;0,43993;0,238;0,238;0;9,99999999998225e-06;9,99999999998225e-06
"225";0,95;50;100;2;10;0;1e-05;1e-05;0;0;0
"226";0,95;50;100;2;4;0;0;0;0;0;0
"227";0,95;50;100;2;2;0;1e-05;1e-05;0;0;0
"228";0,95;50;100;2;1;0;1e-05;1e-05;0;0;0
"229";0,95;50;100;2;0,1;0,61622;0,36345;0,36345;2,000000000002e-05;2,99999999999745e-05;2,99999999999745e-05
"230";0,95;50;100;2;0,5;7e-05;6e-05;6e-05;0;0;0
"231";0,95;50;100;2;0,25;0,01109;0,00235;0,00235;0;0;0
"232";0,95;50;100;3;10;0;0;0;0;0;0
"233";0,95;50;100;3;4;0;0;0;0;0;0
"234";0,95;50;100;3;2;0;0;0;0;0;0
"235";0,95;50;100;3;1;0;0;0;0;0;0
"236";0,95;50;100;3;0,1;0,25444;0,09826;0,09826;1,000000000001e-05;2,00000000000061e-05;2,00000000000061e-05
"237";0,95;50;100;3;0,5;1e-05;0;0;0;0;0
"238";0,95;50;100;3;0,25;0,00022;6e-05;6e-05;0;0;0
"239";0,95;50;100;4;10;0;0;0;0;0;0
"240";0,95;50;100;4;4;0;0;0;0;0;0
"241";0,95;50;100;4;2;0;0;0;0;0;0
"242";0,95;50;100;4;1;0;0;0;0;0;0
"243";0,95;50;100;4;0,1;0,0594;0,01462;0,01462;0;0;0
"244";0,95;50;100;4;0,5;0;0;0;0;0;0
"245";0,95;50;100;4;0,25;5e-05;2e-05;2e-05;0;0;0
"246";0,95;50;20;0;10;0,99516;0,9504;0,9504;0;0;0
"247";0,95;50;20;0;4;0,99247;0,9485;0,9485;0;0;0
"248";0,95;50;20;0;2;0,98223;0,94885;0,94885;0;0;0
"249";0,95;50;20;0;1;0,94994;0,95037;0,95037;0;0;0
"250";0,95;50;20;0;0,1;0,84311;0,9499;0,9499;2,000000000002e-05;2,99999999999745e-05;2,99999999999745e-05
"251";0,95;50;20;0;0,5;0,89651;0,95115;0,95115;0;0;0
"252";0,95;50;20;0;0,25;0,86242;0,95204;0,95204;0;0;0
"253";0,95;50;20;1;10;0,00126;0,00023;0,00023;0;0;0
"254";0,95;50;20;1;4;0,00143;0,00025;0,00025;0;0;0
"255";0,95;50;20;1;2;0,00231;0,00063;0,00063;0;0;0
"256";0,95;50;20;1;1;0,02346;0,02779;0,02779;0;9,99999999999959e-06;9,99999999999959e-06
"257";0,95;50;20;1;0,1;0,70833;0,88099;0,88099;1,00000000000655e-05;0;0
"258";0,95;50;20;1;0,5;0,18846;0,31342;0,31342;0;0;0
"259";0,95;50;20;1;0,25;0,48321;0,69601;0,69601;0;0;0
"260";0,95;50;20;2;10;3e-05;0;0;0;0;0
"261";0,95;50;20;2;4;2e-05;0;0;0;0;0
"262";0,95;50;20;2;2;3e-05;1e-05;1e-05;0;0;0
"263";0,95;50;20;2;1;8e-05;0,00017;0,00017;0;0;0
"264";0,95;50;20;2;0,1;0,53744;0,76506;0,76506;1,00000000000655e-05;1,9999999999909e-05;1,9999999999909e-05
"265";0,95;50;20;2;0,5;0,00442;0,01397;0,01397;0;0;0
"266";0,95;50;20;2;0,25;0,13159;0,28775;0,28775;0;0;0
"267";0,95;50;20;3;10;1e-05;0;0;0;0;0
"268";0,95;50;20;3;4;0;0;0;0;0;0
"269";0,95;50;20;3;2;1e-05;0;0;0;0;0
"270";0,95;50;20;3;1;0;0;0;0;0;0
"271";0,95;50;20;3;0,1;0,36315;0,60704;0,60704;9,99999999995449e-06;0;0
"272";0,95;50;20;3;0,5;0,00017;0,00077;0,00077;0;0;0
"273";0,95;50;20;3;0,25;0,01892;0,066;0,066;0;0;0
"274";0,95;50;20;4;10;0;0;0;0;0;0
"275";0,95;50;20;4;4;0;0;0;0;0;0
"276";0,95;50;20;4;2;0;0;0;0;0;0
"277";0,95;50;20;4;1;0;0;0;0;0;0
"278";0,95;50;20;4;0,1;0,21582;0,43373;0,43373;0;3,99999999999845e-05;3,99999999999845e-05
"279";0,95;50;20;4;0,5;5e-05;0,00016;0,00016;0;0;0
"280";0,95;50;20;4;0,25;0,00283;0,01222;0,01222;0;0;0
"281";0,95;50;50;0;10;0,94981;0,95132;0,95132;0;1,00000000000655e-05;1,00000000000655e-05
"282";0,95;50;50;0;4;0,95038;0,95156;0,95156;0;0;0
"283";0,95;50;50;0;2;0,94972;0,95049;0,95049;9,99999999995449e-06;0;0
"284";0,95;50;50;0;1;0,94998;0,95003;0,95003;1,00000000000655e-05;0;0
"285";0,95;50;50;0;0,1;0,94906;0,95064;0,95064;1,00000000000655e-05;0;0
"286";0,95;50;50;0;0,5;0,94996;0,9506;0,9506;0;0;0
"287";0,95;50;50;0;0,25;0,94952;0,95066;0,95066;0;9,99999999995449e-06;9,99999999995449e-06
"288";0,95;50;50;1;10;0,00023;0,00023;0,00023;0;0;0
"289";0,95;50;50;1;4;0,00022;0,00023;0,00023;0;0;0
"290";0,95;50;50;1;2;0,00022;0,00024;0,00024;0;0;0
"291";0,95;50;50;1;1;0,0013;0,00132;0,00132;0;0;0
"292";0,95;50;50;1;0,1;0,81689;0,82084;0,82084;0;2,000000000002e-05;2,000000000002e-05
"293";0,95;50;50;1;0,5;0,07074;0,07141;0,07141;9,99999999999612e-06;9,99999999999612e-06;9,99999999999612e-06
"294";0,95;50;50;1;0,25;0,46176;0,46649;0,46649;2,000000000002e-05;1,000000000001e-05;1,000000000001e-05
"295";0,95;50;50;2;10;0;0;0;0;0;0
"296";0,95;50;50;2;4;0;0;0;0;0;0
"297";0,95;50;50;2;2;3e-05;3e-05;3e-05;0;0;0
"298";0,95;50;50;2;1;0;0;0;0;0;0
"299";0,95;50;50;2;0,1;0,57494;0,58119;0,58119;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"300";0,95;50;50;2;0,5;0,00022;0,00023;0,00023;0;0;0
"301";0,95;50;50;2;0,25;0,0469;0,04794;0,04794;0;1,00000000000031e-05;1,00000000000031e-05
"302";0,95;50;50;3;10;0;0;0;0;0;0
"303";0,95;50;50;3;4;0;0;0;0;0;0
"304";0,95;50;50;3;2;0;0;0;0;0;0
"305";0,95;50;50;3;1;1e-05;1e-05;1e-05;0;0;0
"306";0,95;50;50;3;0,1;0,31153;0,31658;0,31658;9,99999999995449e-06;9,99999999995449e-06;9,99999999995449e-06
"307";0,95;50;50;3;0,5;2e-05;3e-05;3e-05;0;0;0
"308";0,95;50;50;3;0,25;0,00164;0,00169;0,00169;0;0;0
"309";0,95;50;50;4;10;0;0;0;0;0;0
"310";0,95;50;50;4;4;0;0;0;0;0;0
"311";0,95;50;50;4;2;0;0;0;0;0;0
"312";0,95;50;50;4;1;0;0;0;0;0;0
"313";0,95;50;50;4;0,1;0,12529;0,12812;0,12812;1,000000000001e-05;1,000000000001e-05;1,000000000001e-05
"314";0,95;50;50;4;0,5;1e-05;1e-05;1e-05;0;0;0
"315";0,95;50;50;4;0,25;0,00018;0,00018;0,00018;0;0;0
