"n1";"n2";"m1";"m2";"sd1";"sd2";"C.P_cohen.d";"C.P_glass1.d";"C.P_glass2.d";"C.P_cohen.dprime";"C.P_shieh.d";"C.P_hedges.g";"C.P_glass1.g";"C.P_glass2.g";"C.P_hedges.gprime";"C.P_shieh.g"
"89";50;100;0;0;1;10;0,99215;0,95074;0,94769;0,94766;0,9476;0,99215;0,95074;0,94769;0,94766;0,9476
"90";50;100;0;0;1;2;0,98156;0,95431;0,95146;0,95082;0,9507;0,98156;0,95431;0,95146;0,95082;0,9507
"91";50;100;0;0;1;4;0,98966;0,95183;0,94896;0,94861;0,94837;0,98966;0,95183;0,94896;0,94861;0,94837
"92";50;100;1;0;1;0,1;0,56489;0,76474;0,857;0,76517;0,76511;0,56732;0,76941;0,85831;0,76987;0,76957
"93";50;100;1;0;1;0,25;0,61409;0,76868;0,87046;0,77165;0,76996;0,61658;0,77225;0,87207;0,77523;0,77365
"94";50;100;1;0;1;0,5;0,72949;0,77762;0,88971;0,79907;0,78835;0,73145;0,78095;0,89097;0,80008;0,79026
"95";50;100;1;0;1;1;0,90156;0,81077;0,92723;0,8804;0,85587;0,9024;0,81302;0,92807;0,88098;0,8557
"96";50;100;1;0;1;10;0,99492;0,94324;0,96045;0,96023;0,95996;0,99487;0,94244;0,96011;0,95999;0,95986
"97";50;100;1;0;1;2;0,9842;0,86893;0,96413;0,953;0,94208;0,98442;0,86824;0,96472;0,95314;0,94204
"98";50;100;1;0;1;4;0,99512;0,9177;0,96972;0,96767;0,96573;0,99514;0,9158;0,96959;0,96749;0,96556
"99";50;20;0;0;1;0,1;0,99588;0,94777;0,95605;0,94766;0,94749;0,99588;0,94777;0,95605;0,94766;0,94749
"100";50;20;0;0;1;0,25;0,99382;0,95007;0,95855;0,94948;0,94909;0,99382;0,95007;0,95855;0,94948;0,94909
"101";50;20;0;0;1;0,5;0,98614;0,95326;0,96123;0,95209;0,95234;0,98614;0,95326;0,96123;0,95209;0,95234
"102";50;20;0;0;1;1;0,95107;0,94878;0,95757;0,94822;0,95052;0,95107;0,94878;0,95757;0,94822;0,95052
"103";50;20;0;0;1;10;0,77239;0,93785;0,94681;0,9464;0,94665;0,77239;0,93785;0,94681;0,9464;0,94665
"104";50;20;0;0;1;2;0,86896;0,94118;0,94994;0,94379;0,94643;0,86896;0,94118;0,94994;0,94379;0,94643
"105";50;20;0;0;1;4;0,8021;0,93732;0,94656;0,94398;0,94539;0,8021;0,93732;0,94656;0,94398;0,94539
"106";50;20;1;0;1;0,1;0,88726;0,76489;0,85553;0,76581;0,76703;0,88966;0,76883;0,85571;0,76974;0,77082
"107";50;20;1;0;1;0,25;0,89224;0,77896;0,87575;0,78606;0,79677;0,89434;0,7832;0,87541;0,78865;0,79961
"108";50;20;1;0;1;0,5;0,90168;0,81422;0,90897;0,84316;0,86818;0,9036;0,8158;0,90803;0,84482;0,86961
"109";50;20;1;0;1;1;0,91509;0,87357;0,95428;0,92605;0,94064;0,91644;0,87172;0,9548;0,92693;0,94232
"110";50;20;1;0;1;10;0,78993;0,93432;0,95351;0,95304;0,95329;0,78993;0,93388;0,95293;0,95236;0,95269
"111";50;20;1;0;1;2;0,88793;0,90999;0,9683;0,95879;0,96403;0,88789;0,90788;0,96783;0,95868;0,96365
"112";50;20;1;0;1;4;0,83504;0,92735;0,96349;0,96075;0,96228;0,8348;0,92636;0,9624;0,9597;0,96124
"113";50;50;0;0;1;0,1;0,94434;0,94726;0,94726;0,94714;0,94714;0,94434;0,94726;0,94726;0,94714;0,94714
"114";50;50;0;0;1;0,25;0,94482;0,94752;0,94752;0,94679;0,94679;0,94482;0,94752;0,94752;0,94679;0,94679
"115";50;50;0;0;1;0,5;0,94862;0,9516;0,9516;0,94958;0,94958;0,94862;0,9516;0,9516;0,94958;0,94958
"116";50;50;0;0;1;1;0,95225;0,955;0,95499;0,95251;0,95251;0,95225;0,955;0,95499;0,95251;0,95251
"117";50;50;0;0;1;10;0,94261;0,9453;0,9453;0,94513;0,94513;0,94261;0,9453;0,9453;0,94513;0,94513
"118";50;50;0;0;1;2;0,94822;0,95102;0,95101;0,94921;0,94921;0,94822;0,95102;0,95101;0,94921;0,94921
"119";50;50;0;0;1;4;0,94613;0,94886;0,94886;0,94816;0,94816;0,94613;0,94886;0,94886;0,94816;0,94816
"120";50;50;1;0;1;0,1;0,71233;0,76358;0,84621;0,76382;0,76382;0,7147;0,76785;0,8481;0,76815;0,76815
"121";50;50;1;0;1;0,25;0,73668;0,77026;0,86431;0,77524;0,77524;0,73919;0,77373;0,86613;0,77834;0,77834
"122";50;50;1;0;1;0,5;0,80152;0,79033;0,89115;0,81502;0,81502;0,80364;0,79391;0,89283;0,81657;0,81657
"123";50;50;1;0;1;1;0,90093;0,83601;0,93767;0,90229;0,90229;0,90201;0,83686;0,9385;0,90295;0,90295
"124";50;50;1;0;1;10;0,95486;0,94143;0,95737;0,95709;0,95709;0,95474;0,94072;0,95706;0,95687;0,95687
"125";50;50;1;0;1;2;0,95653;0,8937;0,96847;0,95948;0,95948;0,957;0,89203;0,96893;0,95996;0,95996
"126";50;50;1;0;1;4;0,96299;0,92769;0,96694;0,96531;0,96531;0,96286;0,92607;0,96658;0,96494;0,96494
