"n1";"n2";"n1/n2";"m1-m2";"sd1/sd2";"bias_Cohen";"bias_Glass1";"bias_Glass2";"bias_Shieh";"bias_Shieh_corr";"relbias_Cohen";"relbias_Glass1";"relbias_Glass2";"relbias_Shieh";"relbias_Shieh_corr";"eff_Cohen";"eff_Glass1";"eff_Glass2";"eff_Shieh";"eff_Shieh_corr";"releff_Cohen";"releff_Glass1";"releff_Glass2";"releff_Shieh";"releff_Shieh_corr"
"13";100;100;1;1;0,5;0,00291658640984382;0,00703292276572198;0,00351338507501975;0,00145829320492191;0,00291658640984382;0,00461152802389991;0,00703292276572198;0,0070267701500395;0,00461152802389991;0,00461152802389991;0,0215379337445804;0,0558936289329685;0,0139674020624736;0,0053844834361451;0,0215379337445804;0,053844834361451;0,0558936289329685;0,0558696082498946;0,053844834361451;0,053844834361451
"14";100;100;1;1;0,25;0,00236726646146151;0,00778687162410896;0,00193452725976179;0,00118363323073076;0,00236726646146151;0,00690170842953138;0,00778687162410896;0,00773810903904715;0,00690170842953138;0,00690170842953138;0,0208649172755465;0,178114552898447;0,0111471201747313;0,00521622931888662;0,0208649172755465;0,177351796842145;0,178114552898447;0,1783539227957;0,177351796842145;0,177351796842145
"15";100;100;1;2;10;0,0194858278885093;0,0141444332962415;0,144454626737868;0,00974291394425464;0,0194858278885093;0,00692364123299305;0,00707221664812074;0,00722273133689342;0,00692364123299305;0,00692364123299305;0,0602329499849235;0,0308522782134222;3,05981085665184;0,0150582374962309;0,0602329499849235;0,00760440993559659;0,00771306955335556;0,00764952714162961;0,00760440993559659;0,00760440993559659
"16";100;100;1;2;4;0,0171228450404133;0,0141324406484631;0,0596238491586902;0,00856142252020664;0,0171228450404133;0,00624015535834627;0,00706622032423154;0,00745298114483628;0,00624015535834627;0,00624015535834627;0,054356599550806;0,0313012506223481;0,503258425990421;0,0135891498877015;0,054356599550806;0,00721923587784143;0,00782531265558704;0,00786341290610034;0,00721923587784143;0,00721923587784143
"17";100;100;1;2;2;0,0128479659602769;0,0150121990920788;0,0297859336058997;0,00642398298013847;0,0128479659602769;0,00507860446684844;0,00750609954603942;0,00744648340147491;0,00507860446684844;0,00507860446684844;0,0419459684022032;0,0330572663501999;0,132606430231682;0,0104864921005508;0,0419459684022032;0,00655405756284425;0,00826431658754998;0,00828790188948013;0,00655405756284425;0,00655405756284425
"18";100;100;1;2;1;0,00768612748089703;0,0149482484319323;0,0152708731651741;0,00384306374044852;0,00768612748089703;0,00384306374044852;0,00747412421596616;0,00763543658258703;0,00384306374044852;0,00384306374044852;0,0303569691872308;0,0409207852561511;0,0408577139249842;0,00758924229680769;0,0303569691872308;0,00758924229680769;0,0102301963140378;0,0102144284812461;0,00758924229680769;0,00758924229680769
"19";100;100;1;2;0,1;0,00121255903216311;0,0098947395788076;0,00089051339345908;0,000606279516081554;0,00121255903216311;0,00430842546724603;0,0049473697894038;0,0044525669672954;0,00430842546724603;0,00430842546724603;0,0207840018672671;1,05037934816216;0,0105042411101352;0,00519600046681677;0,0207840018672671;0,262398023574247;0,262594837040541;0,262606027753379;0,262398023574247;0,262398023574247
"20";100;100;1;2;0,5;0,00659261128732669;0,014589255940324;0,00769920456681494;0,00329630564366334;0,00659261128732669;0,00521191684902177;0,007294627970162;0,00769920456681494;0,00521191684902177;0,00521191684902177;0,0255872759008632;0,0713248164842825;0,017745572543462;0,0063968189752158;0,0255872759008632;0,0159920474380395;0,0178312041210706;0,017745572543462;0,0159920474380395;0,0159920474380395
"21";100;100;1;2;0,25;0,00468220247651019;0,0157921751038708;0,0038262774619594;0,00234110123825509;0,00468220247651019;0,00682542435061411;0,00789608755193538;0,00765255492391881;0,00682542435061411;0,00682542435061411;0,0227214200725956;0,194748309312236;0,0122492986342247;0,00568035501814891;0,0227214200725956;0,0482830176542657;0,0486870773280589;0,0489971945368987;0,0482830176542657;0,0482830176542657
"22";100;100;1;3;10;0,0311443633508866;0,022573066572583;0,235810539146868;0,0155721816754433;0,0311443633508866;0,00737740952057686;0,00752435552419432;0,00786035130489561;0,00737740952057686;0,00737740952057686;0,109267035949749;0,0561478750970588;5,6164351484432;0,0273167589874373;0,109267035949749;0,00613109479495814;0,00623865278856209;0,00624048349827022;0,00613109479495814;0,00613109479495814
