"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"180";0,95;20;50;0;0,1;0,95608;0,95608;0,88757;0,88757
"181";0,95;20;50;0;0,5;0,95917;0,95917;0,95679;0,95679
"182";0,95;20;50;0;0,25;0,95626;0,95626;0,91336;0,91336
"183";0,95;20;50;1;10;0,49303;0,48511;0,72653;0,73206
"184";0,95;20;50;1;4;0,601;0,59129;0,73379;0,7622
"185";0,95;20;50;1;2;0,71139;0,70432;0,7731;0,81345
"186";0,95;20;50;1;1;0,73666;0,73298;0,80458;0,78909
"187";0,95;20;50;1;0,1;0,92256;0,92205;0,83071;0,82952
"188";0,95;20;50;1;0,5;0,80349;0,80142;0,7797;0,7406
"189";0,95;20;50;1;0,25;0,87335;0,87167;0,78627;0,77152
"190";0,95;20;50;2;10;0,31301;0,30804;0,531;0,53539
"191";0,95;20;50;2;4;0,37859;0,37277;0,53442;0,55761
"192";0,95;20;50;2;2;0,48922;0,48344;0,54806;0,60286
"193";0,95;20;50;2;1;0,55264;0,54861;0,59933;0,62058
"194";0,95;20;50;2;0,1;0,88292;0,88166;0,77035;0,76778
"195";0,95;20;50;2;0,5;0,63432;0,63163;0,62555;0,58719
"196";0,95;20;50;2;0,25;0,77662;0,77447;0,65566;0,63298
"197";0,95;20;50;3;10;0,26702;0,26344;0,47311;0,47635
"198";0,95;20;50;3;4;0,31687;0,31046;0,47192;0,49258
"199";0,95;20;50;3;2;0,40765;0,40243;0,47357;0,52526
"200";0,95;20;50;3;1;0,46494;0,46054;0,51001;0,54578
"201";0,95;20;50;3;0,1;0,84715;0,84522;0,70705;0,70339
"202";0,95;20;50;3;0,5;0,52617;0,52348;0,53573;0,50712
"203";0,95;20;50;3;0,25;0,68144;0,67953;0,5703;0,54554
"204";0,95;20;50;4;10;0,24687;0,24308;0,44828;0,45165
"205";0,95;20;50;4;4;0,28919;0,2839;0,4447;0,46285
"206";0,95;20;50;4;2;0,37616;0,37051;0,44591;0,4957
"207";0,95;20;50;4;1;0,42281;0,41782;0,46503;0,50929
"208";0,95;20;50;4;0,1;0,80869;0,80614;0,65039;0,64617
"209";0,95;20;50;4;0,5;0,46134;0,45892;0,484;0,46173
"210";0,95;20;50;4;0,25;0,59931;0,59774;0,50939;0,48572
"211";0,95;50;100;0;10;0,78161;0,78161;0,8824;0,8824
"212";0,95;50;100;0;4;0,8093;0,8093;0,88928;0,88928
"213";0,95;50;100;0;2;0,87418;0,87418;0,90609;0,90609
"214";0,95;50;100;0;1;0,95491;0,95491;0,94562;0,94562
"215";0,95;50;100;0;0,1;0,96446;0,96446;0,91307;0,91307
"216";0,95;50;100;0;0,5;0,9656;0,9656;0,95096;0,95096
"217";0,95;50;100;0;0,25;0,96336;0,96336;0,92448;0,92448
"218";0,95;50;100;1;10;0,49342;0,48894;0,68068;0,68425
"219";0,95;50;100;1;4;0,57111;0,56582;0,69644;0,71656
"220";0,95;50;100;1;2;0,68267;0,67872;0,74025;0,77212
"221";0,95;50;100;1;1;0,71517;0,71292;0,7786;0,76177
"222";0,95;50;100;1;0,1;0,92613;0,92582;0,84952;0,84874
"223";0,95;50;100;1;0,5;0,77305;0,77202;0,75306;0,71838
"224";0,95;50;100;1;0,25;0,86518;0,86449;0,77652;0,76486
"225";0,95;50;100;2;10;0,30659;0,30414;0,47473;0,47727
"226";0,95;50;100;2;4;0,35058;0,34765;0,48202;0,49769
"227";0,95;50;100;2;2;0,45002;0,44608;0,50172;0,54019
