"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"218";0,95;20;100;0;0,25;0,99981;0,99981;0,95265;0,95265
"219";0,95;20;100;1;10;0,51419;0,51161;0,89252;0,89454
"220";0,95;20;100;1;4;0,60845;0,60608;0,89146;0,90258
"221";0,95;20;100;1;2;0,77048;0,7686;0,89258;0,92273
"222";0,95;20;100;1;1;0,92764;0,92715;0,90143;0,94054
"223";0,95;20;100;1;0,1;0,99998;0,99998;0,95004;0,94991
"224";0,95;20;100;1;0,5;0,99319;0,99295;0,92889;0,94139
"225";0,95;20;100;1;0,25;0,99966;0,99963;0,94328;0,94294
"226";0,95;20;100;2;10;0,44203;0,43823;0,84028;0,84387
"227";0,95;20;100;2;4;0,54269;0,53819;0,83777;0,85749
"228";0,95;20;100;2;2;0,71798;0,71363;0,83778;0,89341
"229";0,95;20;100;2;1;0,87675;0,87497;0,83962;0,9264
"230";0,95;20;100;2;0,1;0,99999;0,99999;0,94417;0,94318
"231";0,95;20;100;2;0,5;0,97745;0,97677;0,88283;0,91836
"232";0,95;20;100;2;0,25;0,9986;0,99857;0,92542;0,92431
"233";0,95;20;100;3;10;0,41585;0,41153;0,81989;0,82417
"234";0,95;20;100;3;4;0,51401;0,50764;0,81821;0,84039
"235";0,95;20;100;3;2;0,6907;0,68537;0,8145;0,88182
"236";0,95;20;100;3;1;0,83157;0,82845;0,80696;0,92016
"237";0,95;20;100;3;0,1;0,99996;0,99995;0,93716;0,93597
"238";0,95;20;100;3;0,5;0,94763;0,94622;0,8424;0,90087
"239";0,95;20;100;3;0,25;0,9953;0,99511;0,90168;0,89999
"240";0,95;20;100;4;10;0,40778;0,40352;0,81066;0,81492
"241";0,95;20;100;4;4;0,50107;0,49424;0,80844;0,83299
"242";0,95;20;100;4;2;0,67046;0,66403;0,8046;0,87541
"243";0,95;20;100;4;1;0,79378;0,78963;0,79253;0,91648
"244";0,95;20;100;4;0,1;0,9998;0,99978;0,92766;0,92521
"245";0,95;20;100;4;0,5;0,91345;0,91158;0,81298;0,88887
"246";0,95;20;100;4;0,25;0,98692;0,98658;0,87327;0,86937
"247";0,95;20;20;0;10;0,94766;0,94766;0,95424;0,95424
"248";0,95;20;20;0;4;0,94865;0,94865;0,95385;0,95385
"249";0,95;20;20;0;2;0,95034;0,95034;0,95266;0,95266
"250";0,95;20;20;0;1;0,95335;0,95335;0,9539;0,9539
"251";0,95;20;20;0;0,1;0,94688;0,94688;0,9541;0,9541
"252";0,95;20;20;0;0,5;0,95129;0,95129;0,95372;0,95372
"253";0,95;20;20;0;0,25;0,94667;0,94667;0,95172;0,95172
"254";0,95;20;20;1;10;0,84445;0,83869;0,89145;0,89145
"255";0,95;20;20;1;4;0,86301;0,85738;0,89438;0,89438
"256";0,95;20;20;1;2;0,89633;0,89222;0,90717;0,90717
"257";0,95;20;20;1;1;0,92296;0,92095;0,92512;0,92512
"258";0,95;20;20;1;0,1;0,94565;0,94542;0,95273;0,95273
"259";0,95;20;20;1;0,5;0,9331;0,93201;0,93739;0,93739
"260";0,95;20;20;1;0,25;0,94052;0,93998;0,94758;0,94758
"261";0,95;20;20;2;4;0,76423;0,75359;0,83833;0,83833
"262";0,95;20;20;2;2;0,81918;0,80941;0,85029;0,85029
"263";0,95;20;20;2;1;0,87544;0,8694;0,88186;0,88186
"264";0,95;20;20;2;0,1;0,94141;0,94095;0,94995;0,94995
"265";0,95;20;20;2;0,5;0,89575;0,89125;0,90676;0,90676
"266";0,95;20;20;2;0,25;0,92156;0,91967;0,93392;0,93392
"267";0,95;20;20;3;10;0,68596;0,67231;0,8184;0,8184
"268";0,95;20;20;3;4;0,71408;0,69972;0,81436;0,81436
"269";0,95;20;20;3;2;0,77659;0,76241;0,82036;0,82036
"270";0,95;20;20;3;1;0,83664;0,82725;0,84704;0,84704
"271";0,95;20;20;3;0,1;0,93419;0,93319;0,9448;0,9448
"272";0,95;20;20;3;0,5;0,85456;0,84742;0,8752;0,8752
"273";0,95;20;20;3;0,25;0,89457;0,89096;0,91479;0,91479
"274";0,95;20;20;4;10;0,6656;0,65027;0,81112;0,81112
