"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"193";0,95;20;50;2;1;0,95245;0,94496;0,95027;0,96697
"194";0,95;20;50;2;0,1;0,99306;0,99277;0,95001;0,94987
"195";0,95;20;50;2;0,5;0,97468;0,97141;0,95184;0,95287
"196";0,95;20;50;2;0,25;0,98791;0,98678;0,95066;0,94917
"197";0,95;20;50;3;10;0,81711;0,79899;0,9569;0,95799
"198";0,95;20;50;3;4;0,8502;0,83274;0,95652;0,96171
"199";0,95;20;50;3;2;0,91366;0,89881;0,95236;0,96827
"200";0,95;20;50;3;1;0,95281;0,94303;0,94819;0,97104
"201";0,95;20;50;3;0,1;0,99216;0,99175;0,95061;0,95038
"202";0,95;20;50;3;0,5;0,9694;0,96389;0,95281;0,95493
"203";0,95;20;50;3;0,25;0,98444;0,98253;0,95002;0,94728
"204";0,95;20;50;4;10;0,8164;0,79718;0,95722;0,95832
"205";0,95;20;50;4;4;0,84851;0,82927;0,95547;0,9619
"206";0,95;20;50;4;2;0,91571;0,89922;0,95025;0,96809
"207";0,95;20;50;4;1;0,95521;0,94426;0,94829;0,97464
"208";0,95;20;50;4;0,1;0,9911;0,99033;0,94966;0,94947
"209";0,95;20;50;4;0,5;0,96475;0,95764;0,95361;0,95633
"210";0,95;20;50;4;0,25;0,9812;0,9783;0,95179;0,94796
"211";0,95;50;100;0;10;0,87634;0,87634;0,94894;0,94894
"212";0,95;50;100;0;4;0,88494;0,88494;0,9503;0,9503
"213";0,95;50;100;0;2;0,90921;0,90921;0,94977;0,94977
"214";0,95;50;100;0;1;0,94983;0,94983;0,94981;0,94981
"215";0,95;50;100;0;0,1;0,98932;0,98932;0,95029;0,95029
"216";0,95;50;100;0;0,5;0,97694;0,97694;0,94967;0,94967
"217";0,95;50;100;0;0,25;0,98629;0,98629;0,95125;0,95125
"218";0,95;50;100;1;10;0,85817;0,85197;0,95113;0,95156
"219";0,95;50;100;1;4;0,87676;0,87046;0,9516;0,9535
"220";0,95;50;100;1;2;0,91159;0,90675;0,95106;0,95619
"221";0,95;50;100;1;1;0,95036;0,9474;0,94963;0,95383
"222";0,95;50;100;1;0,1;0,98929;0,98916;0,95037;0,95039
"223";0,95;50;100;1;0,5;0,97422;0,97305;0,9504;0,94989
"224";0,95;50;100;1;0,25;0,98421;0,98383;0,9498;0,94941
"225";0,95;50;100;2;10;0,84555;0,83557;0,95333;0,95391
"226";0,95;50;100;2;4;0,86833;0,85884;0,95311;0,9567
"227";0,95;50;100;2;2;0,91339;0,9055;0,9512;0,96162
"228";0,95;50;100;2;1;0,95182;0,94696;0,94943;0,9605
"229";0,95;50;100;2;0,1;0,98778;0,98748;0,95105;0,95094
"230";0,95;50;100;2;0,5;0,96961;0,96721;0,95149;0,95033
"231";0,95;50;100;2;0,25;0,98181;0,98079;0,95056;0,94955
"232";0,95;50;100;3;10;0,83742;0,82614;0,95394;0,95469
"233";0,95;50;100;3;4;0,86316;0,85183;0,95192;0,95668
"234";0,95;50;100;3;2;0,91313;0,90325;0,94762;0,96102
"235";0,95;50;100;3;1;0,95168;0,94514;0,94794;0,96354
