"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"116";0,95;20;100;1;1;0,95049;0,95059;0,95061;0,96305
"117";0,95;20;100;1;0,1;0,99998;0,99998;0,94968;0,9496
"118";0,95;20;100;1;0,5;0,99656;0,99654;0,94924;0,95411
"119";0,95;20;100;1;0,25;0,9998;0,99979;0,95064;0,95102
"120";0,95;20;100;2;10;0,62082;0,62108;0,96044;0,96142
"121";0,95;20;100;2;4;0,70386;0,70368;0,9591;0,96564
"122";0,95;20;100;2;2;0,84017;0,84075;0,95623;0,97435
"123";0,95;20;100;2;1;0,95171;0,95166;0,95278;0,9812
"124";0,95;20;100;2;0,1;0,99994;0,99994;0,94907;0,94864
"125";0,95;20;100;2;0,5;0,99516;0,99505;0,95042;0,96512
"126";0,95;20;100;2;0,25;0,99975;0,99975;0,95061;0,95012
"127";0,95;20;100;3;10;0,61833;0,61977;0,96074;0,96201
"128";0,95;20;100;3;4;0,71525;0,71546;0,96012;0,96781
"129";0,95;20;100;3;2;0,8623;0,86365;0,95847;0,98062
"130";0,95;20;100;3;1;0,95079;0,95094;0,95407;0,98913
"131";0,95;20;100;3;0,1;0,99995;0,99995;0,94914;0,94859
"132";0,95;20;100;3;0,5;0,99288;0,99271;0,95303;0,97463
"133";0,95;20;100;3;0,25;0,99947;0,99938;0,95002;0,94909
"134";0,95;20;100;4;10;0,6213;0,62206;0,962;0,96327
"135";0,95;20;100;4;4;0,72009;0,72043;0,96239;0,97038
"136";0,95;20;100;4;2;0,87666;0,87714;0,95963;0,98296
"137";0,95;20;100;4;1;0,95298;0,95308;0,9557;0,99418
"138";0,95;20;100;4;0,1;0,99994;0,99994;0,95137;0,95115
"139";0,95;20;100;4;0,5;0,98966;0,98918;0,95506;0,98171
"140";0,95;20;100;4;0,25;0,99916;0,99902;0,95278;0,95127
"141";0,95;20;20;0;10;0,94368;0,94368;0,95065;0,95065
"142";0,95;20;20;0;4;0,94413;0,94413;0,94945;0,94945
"143";0,95;20;20;0;2;0,94889;0,94889;0,9511;0,9511
"144";0,95;20;20;0;1;0,9522;0,9522;0,95251;0,95251
"145";0,95;20;20;0;0,1;0,94381;0,94381;0,95065;0,95065
"146";0,95;20;20;0;0,5;0,94846;0,94846;0,95094;0,95094
"147";0,95;20;20;0;0,25;0,94387;0,94387;0,94916;0,94916
"148";0,95;20;20;1;10;0,92865;0,92769;0,9548;0,9548
"149";0,95;20;20;1;4;0,93389;0,93299;0,95214;0,95214
"150";0,95;20;20;1;2;0,94571;0,94575;0,95266;0,95266
"151";0,95;20;20;1;1;0,95298;0,95268;0,9538;0,9538
"152";0,95;20;20;1;0,1;0,94332;0,94329;0,95024;0,95024
"153";0,95;20;20;1;0,5;0,94605;0,94643;0,94973;0,94973
"154";0,95;20;20;1;0,25;0,94373;0,94352;0,94955;0,94955
"155";0,95;20;20;2;10;0,90584;0,90429;0,9583;0,9583
"156";0,95;20;20;2;4;0,91634;0,91547;0,95692;0,95692
"157";0,95;20;20;2;2;0,94072;0,93954;0,95552;0,95552
"158";0,95;20;20;2;1;0,95501;0,95438;0,95638;0,95638
"159";0,95;20;20;2;0,1;0,94271;0,9428;0,95083;0,95083
"160";0,95;20;20;2;0,5;0,9456;0,94485;0,95224;0,95224
"161";0,95;20;20;2;0,25;0,94029;0,93988;0,9492;0,9492
"162";0,95;20;20;3;10;0,88847;0,88736;0,96004;0,96004
"163";0,95;20;20;3;4;0,90523;0,90417;0,95846;0,95846
"164";0,95;20;20;3;2;0,93678;0,93531;0,95829;0,95829
"165";0,95;20;20;3;1;0,9584;0,95819;0,96079;0,96079
"166";0,95;20;20;3;0,1;0,94203;0,94149;0,95052;0,95052
"167";0,95;20;20;3;0,5;0,9429;0,9423;0,9535;0,9535
"168";0,95;20;20;3;0,25;0,93723;0,93743;0,95036;0,95036
"169";0,95;20;20;4;10;0,87835;0,87827;0,96074;0,96074
"170";0,95;20;20;4;4;0,89775;0,89671;0,96027;0,96027
"171";0,95;20;20;4;2;0,9339;0,93264;0,95885;0,95885
"172";0,95;20;20;4;1;0,9604;0,95955;0,96298;0,96298
"173";0,95;20;20;4;0,1;0,93938;0,93903;0,94961;0,94961
"174";0,95;20;20;4;0,5;0,93988;0,93923;0,95468;0,95468
"175";0,95;20;20;4;0,25;0,93433;0,93377;0,95302;0,95302
"176";0,95;20;50;0;10;0,77932;0,77932;0,94923;0,94923
"177";0,95;20;50;0;4;0,80561;0,80561;0,94859;0,94859
"178";0,95;20;50;0;2;0,86537;0,86537;0,94844;0,94844
"179";0,95;20;50;0;1;0,95114;0,95114;0,95005;0,95005
"180";0,95;20;50;0;0,1;0,99706;0,99706;0,95008;0,95008
"181";0,95;20;50;0;0,5;0,98792;0,98792;0,95068;0,95068
"182";0,95;20;50;0;0,25;0,99591;0,99591;0,94963;0,94963
"183";0,95;20;50;1;10;0,76861;0,76917;0,95399;0,95451
"184";0,95;20;50;1;4;0,80253;0,8033;0,95345;0,95577
"185";0,95;20;50;1;2;0,87256;0,87281;0,9516;0,95766
"186";0,95;20;50;1;1;0,95223;0,95198;0,9511;0,95716
"187";0,95;20;50;1;0,1;0,99679;0,99679;0,94917;0,94916
"188";0,95;20;50;1;0,5;0,98766;0,98741;0,95073;0,95052
"189";0,95;20;50;1;0,25;0,99514;0,99522;0,95052;0,9501
"190";0,95;20;50;2;10;0,7585;0,75861;0,95999;0,96076
"191";0,95;20;50;2;4;0,80443;0,80455;0,95896;0,96341
"192";0,95;20;50;2;2;0,88738;0,88757;0,95589;0,96841
"193";0,95;20;50;2;1;0,95315;0,95279;0,95291;0,9673
"194";0,95;20;50;2;0,1;0,99701;0,99698;0,95016;0,95003
"195";0,95;20;50;2;0,5;0,98448;0,98407;0,95367;0,95278
"196";0,95;20;50;2;0,25;0,99408;0,99385;0,95037;0,94907
"197";0,95;20;50;3;10;0,75188;0,75322;0,96173;0,96272
"198";0,95;20;50;3;4;0,80242;0,8024;0,95947;0,96523
"199";0,95;20;50;3;2;0,89523;0,89598;0,95649;0,97348
"200";0,95;20;50;3;1;0,95374;0,95386;0,95389;0,97574
"201";0,95;20;50;3;0,1;0,99681;0,99687;0,9511;0,95089
"202";0,95;20;50;3;0,5;0,97928;0,97854;0,95424;0,95344
"203";0,95;20;50;3;0,25;0,99252;0,99211;0,95043;0,94793
"204";0,95;20;50;4;10;0,74637;0,74745;0,962;0,96307
"205";0,95;20;50;4;4;0,79991;0,79971;0,96205;0,96797
"206";0,95;20;50;4;2;0,89964;0,90005;0,9579;0,97534
"207";0,95;20;50;4;1;0,95601;0,95564;0,95585;0,98072
"208";0,95;20;50;4;0,1;0,99649;0,99631;0,95126;0,95086
"209";0,95;20;50;4;0,5;0,975;0,97433;0,95659;0,95601
"210";0,95;20;50;4;0,25;0,99027;0,98969;0,9522;0,94822
"211";0,95;50;100;0;10;0,83286;0,83286;0,9489;0,9489
"212";0,95;50;100;0;4;0,84871;0,84871;0,95038;0,95038
"213";0,95;50;100;0;2;0,89092;0,89092;0,95069;0,95069
"214";0,95;50;100;0;1;0,95047;0,95047;0,95015;0,95015
"215";0,95;50;100;0;0,1;0,9935;0,9935;0,95043;0,95043
"216";0,95;50;100;0;0,5;0,98318;0,98318;0,95041;0,95041
