"n1";"n2";"m1";"m2";"var1";"var2";"skew";"kurt";"Average_m1";"Stdev_m1";"Average_m2";"Stdev_m2";"Average_var1";"Stdev_var1";"Average_var2";"Stdev_var2";"Average_skew1";"Stdev_skew1";"Average_skew2";"Stdev_skew2";"Average_kurt1";"Stdev_kurt1";"Average_kurt2";"Stdev_kurt2"
"37";100;20;0;0;1;0,0625;6,32;95,75;3,57707614694569e-05;0,0998340176578558;3,31861567233528e-05;0,0561537256419273;1,00246642034616;0,99254794815709;0,0625933605385108;0,121445331055883;18,5985602742918;14,2120329616609;6,74459333038946;5,12093571889536;3,75363508127552;1,27355716222631;2,46440374148279;0,839212884790893
"38";100;20;0;0;1;0,25;6,32;95,75;0,000123465860911885;0,0997731569148879;-0,000515410978069592;0,1114899040846;0,996952694974713;0,875543856989879;0,249660249789761;0,469690391522854;18,6205457422173;14,1347624253087;6,79639156722841;5,12928696899785;3,75626052941752;1,26931426697848;2,4721683078972;0,840159128434539
"39";100;20;0;0;1;1;6,32;95,75;-0,000435386092928884;0,100030354835732;-0,000452001740727181;0,224190533481466;0,998916171185675;0,914013310421857;1,00149062797755;1,93381736102886;18,6102749437111;14,1848770081797;6,77036859836465;5,13122943729599;3,75529179307711;1,27180126671258;2,46749923673431;0,841013369655688
"40";100;20;0;0;1;100;6,32;95,75;-4,41767951993798e-05;0,100089303945594;0,0121227838319648;2,2527212776379;1,00248899445554;1,03154606176745;100,832580881708;188,925624257305;18,6305856857847;14,209840134883;6,76611601086331;5,12321066485042;3,75705696878606;1,27296442141754;2,46719296547369;0,83944220024969
"41";100;20;0;0;1;4;6,32;95,75;0,000307715754713979;0,0997574645651156;-0,00218610055910679;0,444978735815999;0,999668726502387;0,884118645460625;3,96954499017614;8,14965850650536;18,6535150864154;14,2026669668105;6,77064948256821;5,12205324721942;3,75897430392475;1,27367138478766;2,46771059792368;0,839857630219152
"42";100;20;0;0;1;16;6,32;95,75;0,000702484458918881;0,100315509101658;0,00149764581983664;0,893084142314568;1,00364564736527;0,922129988498546;15,9137047943051;29,5690997075843;18,6472347429551;14,2158859437702;6,78212056067415;5,14606191657736;3,75802468733352;1,27425605085665;2,46974704137084;0,84230838016274
"43";100;20;1;0;1;0,01;6,32;95,75;0,999720836264092;0,0998858184233173;-1,97927475407075e-05;0,0223993065625426;0,997211971706217;0,902556895334105;0,0100064096434703;0,0188487694336192;18,6202925319072;14,1817866128186;6,75563916467358;5,12630618450904;3,75607176916478;1,27195202787778;2,46545993510112;0,839947690024707
"44";100;20;1;0;1;0,0625;6,32;95,75;0,999924005938815;0,0999772106350841;-0,000209014142501469;0,0557830229307971;1,00113764903221;0,958339379122863;0,0618339976026442;0,110425582185828;18,6612623372896;14,1555331251223;6,75221317142328;5,12439738355919;3,76047562620055;1,27153164729485;2,46545602830352;0,839601534776261
"45";100;20;1;0;1;0,25;6,32;95,75;1,00047842841819;0,0998391175053211;-8,75219294945568e-07;0,112234144680326;1,00123616409339;0,891635816327786;0,25223475717462;0,488085748627217;18,6500270680838;14,1906825899263;6,77536918953874;5,12216777073257;3,75919197575603;1,27361966158191;2,46917130246457;0,839622409641018
"46";100;20;1;0;1;1;6,32;95,75;1,00029509811299;0,100382311297364;0,00187780783921675;0,22593415663313;1,00175144499454;0,935700309452504;1,01070107594082;2,10137108997696;18,6183197505277;14,1532201754245;6,76330301336888;5,12156822679233;3,75611715643219;1,27053625503636;2,46711590076713;0,839242728007646
"47";100;20;1;0;1;100;6,32;95,75;1,0004097860869;0,100612661139946;-0,000175984030420159;2,24060041536944;1,00434347976382;1,16311332283111;99,7831955719994;185,111979317495;18,6743091828823;14,2371778584362;6,78398284156203;5,12513090818661;3,76063432310327;1,27559838376642;2,47040574286572;0,839280877309831
"48";100;20;1;0;1;4;6,32;95,75;0,999489763894468;0,0996452581445649;-0,0016807982782469;0,447814932733311;0,996918016300865;0,91887831517882;3,98275346771983;7,20527018815667;18,6314687350381;14,206153851883;6,75312533076647;5,12270426858043;3,7569001809763;1,27274127996635;2,46443790097634;0,84058627788829
"49";100;20;1;0;1;16;6,32;95,75;0,99951378284417;0,100380020245932;-0,00051462595222232;0,892732984917538;0,999858887492745;0,931199086001424;15,9038277129237;28,7642052313605;18,6264198091264;14,1509846854677;6,7737726423045;5,11484696838001;3,75707375657536;1,26918318006634;2,46817598974373;0,839254099699777
"50";100;20;2;0;1;0,01;6,32;95,75;1,99966628848145;0,0997345992489868;-1,51275640498317e-05;0,0223928754791063;0,994853385736063;0,885176840711881;0,00994735631988525;0,0205378969306815;18,5747579908506;14,1662115709075;6,74686048216451;5,11121064197197;3,75118632093826;1,2713179681117;2,4645346850718;0,837858192889917
"51";100;20;2;0;1;0,0625;6,32;95,75;1,99970955061144;0,0996178555399607;-5,9245460772249e-05;0,05587589366858;0,992984399461694;0,882503946175152;0,0625537984760146;0,112021088248563;18,5219742855539;14,0709221288536;6,76858345593131;5,13399331373425;3,74796743638866;1,26334813678431;2,46713235294591;0,841635614522766
"52";100;20;2;0;1;0,25;6,32;95,75;2,0001946334869;0,100210339616773;0,000580921549861968;0,111933311913103;0,998499989350682;0,911595202699638;0,250280684175114;0,455353033796439;18,6561732230396;14,2294280232067;6,76770486787118;5,12763846735925;3,75876556675644;1,2743227252065;2,46739097928485;0,840295437620505
"53";100;20;2;0;1;1;6,32;95,75;1,99953843313083;0,0999629384163371;0,000408905932059713;0,223326282371051;0,995236554282481;0,897551214065685;1,00016084419786;1,8348936783198;18,6169438178229;14,1970878610536;6,77922157196425;5,1360966261331;3,75539762626615;1,27257436378677;2,46882847190931;0,841552395910099
"54";100;20;2;0;1;100;6,32;95,75;1,99969921065165;0,100047667270804;-0,0141772751120333;2,21683675492495;0,998088594841352;0,892369814636902;99,1588070357377;183,295440202897;18,6621721736975;14,1574313439532;6,75398321969941;5,13036040957365;3,76097550071555;1,27036535061955;2,46481524919701;0,840191472755609
"55";100;20;2;0;1;4;6,32;95,75;1,9999493301526;0,0994044744299818;0,000892778149206475;0,448752960831191;0,998345924652147;0,931865725190276;4,0366450232245;9,13656436353019;18,6059412253391;14,1632217103224;6,77138232064062;5,12493466991351;3,75528097099757;1,27043195494968;2,4681425691191;0,839728253334597
"56";100;20;2;0;1;16;6,32;95,75;2,00015300635206;0,100311207076;-0,000374177690096394;0,891155619544264;1,00018104489165;0,983444880833338;15,9410497530759;29,0489015967226;18,6866956437545;14,2319576802067;6,79485305181466;5,1280400244398;3,7620815836919;1,27502923300369;2,47179271334353;0,840173532692747
